step,line,chars,budget_hit_chars_ge3500,answer_anywhere,answer_last500,garbled,saved_reward,recomputed_reward
3,36,2037,0,1,1,0,1.0,1.0
3,37,3346,0,1,1,0,1.0,1.0
3,38,1794,0,1,1,0,1.0,1.0
3,39,2571,0,1,1,0,1.0,1.0
3,40,3360,0,1,1,0,1.0,1.0
3,41,4063,1,0,0,0,0.0,0.0
3,42,4143,1,0,0,0,0.0,0.0
3,43,4003,1,0,0,0,0.0,0.0
3,44,4204,1,0,0,0,0.0,0.0
3,45,2558,0,0,0,0,0.0,0.0
3,46,2556,0,0,0,0,0.0,0.0
3,47,2476,0,0,0,0,0.0,0.0
3,48,2600,0,0,0,0,0.0,0.0
3,49,4280,1,0,0,0,0.0,0.0
3,50,4153,1,0,0,0,0.0,0.0
3,51,4091,1,0,0,0,0.0,0.0
3,52,4192,1,0,0,0,0.0,0.0
3,53,3738,1,0,0,0,0.0,0.0
3,54,3530,1,0,0,0,0.0,0.0
3,55,3516,1,0,0,0,0.0,0.0
3,56,3444,0,0,0,0,0.0,0.0
3,57,3296,0,1,0,0,0.0,0.0
3,58,3497,0,1,1,0,1.0,1.0
3,59,3425,0,0,0,0,0.0,0.0
3,60,3371,0,1,0,0,0.0,0.0
3,61,3066,0,1,0,0,0.0,0.0
3,62,2323,0,0,0,0,0.0,0.0
3,63,2499,0,1,1,0,1.0,1.0
3,64,2475,0,0,0,0,0.0,0.0
4,1,3548,1,1,1,0,0.0,0.0
4,2,3727,1,0,0,0,0.0,0.0
4,3,3490,0,1,1,0,1.0,1.0
4,4,3490,0,0,0,0,0.0,0.0
4,5,2730,0,1,1,0,1.0,1.0
4,6,3578,1,1,0,0,0.0,0.0
4,7,4226,1,0,0,0,0.0,0.0
4,8,3416,0,1,1,0,1.0,1.0
4,9,2700,0,1,1,0,1.0,1.0
4,10,2248,0,1,1,0,1.0,1.0
4,11,3432,0,1,1,0,1.0,1.0
4,12,2709,0,1,1,0,1.0,1.0
4,13,3278,0,0,0,0,0.0,0.0
4,14,3152,0,1,0,0,0.0,0.0
4,15,3226,0,1,0,0,0.0,0.0
4,16,3143,0,1,1,0,1.0,1.0
4,17,3431,0,1,0,0,0.0,0.0
4,18,3580,1,1,1,0,1.0,1.0
4,19,3815,1,0,0,0,0.0,0.0
4,20,3562,1,1,1,0,0.0,0.0
4,21,3304,0,1,1,0,1.0,1.0
4,22,3607,1,1,0,0,0.0,0.0
4,23,3040,0,1,1,0,1.0,1.0
4,24,2988,0,1,1,0,1.0,1.0
4,25,3554,1,0,0,0,0.0,0.0
4,26,3487,0,0,0,0,0.0,0.0
4,27,3740,1,0,0,0,0.0,0.0
4,28,3793,1,0,0,0,0.0,0.0
4,29,3469,0,0,0,0,0.0,0.0
4,30,3457,0,0,0,0,0.0,0.0
4,31,3841,1,0,0,0,0.0,0.0
4,32,3570,1,0,0,0,0.0,0.0
4,33,3432,0,1,1,0,1.0,1.0
4,34,2197,0,1,1,0,1.0,1.0
4,35,3512,1,0,0,0,0.0,0.0
4,36,2968,0,1,1,0,1.0,1.0
4,37,3553,1,1,0,0,0.0,0.0
4,38,3203,0,1,1,0,1.0,1.0
4,39,3161,0,1,0,0,0.0,0.0
4,40,3224,0,0,0,0,0.0,0.0
4,41,3403,0,1,0,0,0.0,0.0
4,42,2635,0,1,1,0,1.0,1.0
4,43,3405,0,1,0,0,0.0,0.0
4,44,3317,0,1,1,0,1.0,1.0
4,45,2958,0,1,1,0,1.0,1.0
4,46,3241,0,0,0,0,0.0,0.0
4,47,3434,0,1,1,0,1.0,1.0
4,48,3226,0,1,1,0,1.0,1.0
4,49,3763,1,0,0,0,0.0,0.0
4,50,3559,1,0,0,0,0.0,0.0
4,51,3582,1,0,0,0,0.0,0.0
4,52,3621,1,0,0,0,0.0,0.0
4,53,3589,1,0,0,0,0.0,0.0
4,54,3523,1,1,1,0,1.0,1.0
4,55,2966,0,1,1,0,1.0,1.0
4,56,3033,0,1,1,0,1.0,1.0
4,57,4134,1,0,0,0,0.0,0.0
4,58,4086,1,0,0,0,0.0,0.0
4,59,4205,1,0,0,0,0.0,0.0
4,60,4314,1,0,0,0,0.0,0.0
4,61,3629,1,0,0,0,0.0,0.0
4,62,3577,1,0,0,0,0.0,0.0
4,63,3664,1,0,0,0,0.0,0.0
4,64,3597,1,0,0,0,0.0,0.0
5,1,3572,1,0,0,0,0.0,0.0
5,2,3666,1,0,0,0,0.0,0.0
5,3,3612,1,1,0,0,0.0,0.0
5,4,3639,1,1,0,0,0.0,0.0
5,5,2552,0,1,1,0,1.0,1.0
5,6,3488,0,1,1,0,1.0,1.0
5,7,3235,0,1,1,0,1.0,1.0
5,8,2335,0,1,1,0,1.0,1.0
5,9,3020,0,0,0,0,0.0,0.0
5,10,3090,0,0,0,0,0.0,0.0
5,11,2993,0,0,0,0,0.0,0.0
5,12,2791,0,0,0,0,0.0,0.0
5,13,3226,0,0,0,0,0.0,0.0
5,14,2930,0,0,0,0,0.0,0.0
5,15,2826,0,1,1,0,1.0,1.0
5,16,2718,0,1,1,0,1.0,1.0
5,17,2919,0,1,0,0,0.0,0.0
5,18,2937,0,1,1,0,1.0,1.0
5,19,3006,0,1,1,0,1.0,1.0
5,20,3066,0,1,0,0,0.0,0.0
5,21,3724,1,0,0,0,0.0,0.0
5,22,3102,0,1,1,0,1.0,1.0
5,23,2767,0,1,1,0,1.0,1.0
5,24,3813,1,0,0,0,0.0,0.0
5,25,1773,0,1,1,0,1.0,1.0
5,26,1960,0,1,1,0,1.0,1.0
5,27,1701,0,1,1,0,1.0,1.0
5,28,1501,0,1,1,0,1.0,1.0
5,29,3494,0,0,0,0,0.0,0.0
5,30,3264,0,0,0,0,0.0,0.0
5,31,3648,1,0,0,0,0.0,0.0
5,32,3538,1,0,0,0,0.0,0.0
5,33,2609,0,0,0,0,0.0,0.0
5,34,2286,0,0,0,0,0.0,0.0
5,35,2644,0,1,0,0,0.0,0.0
5,36,2612,0,0,0,0,0.0,0.0
5,37,3773,1,0,0,0,0.0,0.0
5,38,3863,1,0,0,0,0.0,0.0
5,39,3783,1,0,0,0,0.0,0.0
5,40,3873,1,0,0,0,0.0,0.0
5,41,1740,0,1,1,0,1.0,1.0
5,42,2779,0,1,1,0,1.0,1.0
5,43,1231,0,1,1,0,1.0,1.0
5,44,2015,0,1,1,0,1.0,1.0
5,45,3580,1,1,1,0,1.0,1.0
5,46,2780,0,1,1,0,1.0,1.0
5,47,3158,0,1,1,0,1.0,1.0
5,48,2658,0,1,1,0,1.0,1.0
5,49,1915,0,1,1,0,1.0,1.0
5,50,2693,0,1,1,0,1.0,1.0
5,51,1961,0,1,1,0,1.0,1.0
5,52,2126,0,1,1,0,1.0,1.0
5,53,2271,0,1,1,0,1.0,1.0
5,54,1577,0,1,1,0,1.0,1.0
5,55,1796,0,1,1,0,1.0,1.0
5,56,1466,0,1,1,0,1.0,1.0
5,57,3610,1,0,0,0,0.0,0.0
5,58,3333,0,1,0,0,0.0,0.0
5,59,3613,1,0,0,0,0.0,0.0
5,60,3613,1,0,0,0,0.0,0.0
5,61,3055,0,0,0,0,0.0,0.0
5,62,3105,0,1,1,0,0.0,0.0
5,63,3113,0,0,0,0,0.0,0.0
5,64,2846,0,1,1,0,1.0,1.0
6,1,3501,1,0,0,0,0.0,0.0
6,2,3586,1,1,0,0,0.0,0.0
6,3,3518,1,1,0,0,0.0,0.0
6,4,3479,0,0,0,0,0.0,0.0
6,5,3609,1,0,0,0,0.0,0.0
6,6,3748,1,0,0,0,0.0,0.0
6,7,3869,1,0,0,0,0.0,0.0
6,8,3653,1,1,0,0,0.0,0.0
6,9,3240,0,1,1,0,1.0,1.0
6,10,3177,0,0,0,0,0.0,0.0
6,11,3073,0,1,0,0,0.0,0.0
6,12,2564,0,0,0,1,0.0,0.0
6,13,3929,1,0,0,0,0.0,0.0
6,14,3897,1,0,0,0,0.0,0.0
6,15,3753,1,0,0,0,0.0,0.0
6,16,3949,1,0,0,0,0.0,0.0
6,17,2160,0,1,1,0,1.0,1.0
6,18,2567,0,1,1,0,1.0,1.0
6,19,1663,0,1,1,0,1.0,1.0
6,20,1589,0,1,1,0,1.0,1.0
6,21,3019,0,0,0,0,0.0,0.0
6,22,2981,0,0,0,0,0.0,0.0
